Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,2,8563.2,16290
Week 2,1,4281.6,8145
Week 3,1,6365.6,12110
Week 4,1,6346.4,12074
Week 5,1,6203.2,11801
Week 6,1,7168.0,13637
Week 7,2,12508.8,23797
Week 8,1,7056.8,13425
Week 9,1,7089.6,13488
Week 10,1,7322.4,13931
Week 11,1,7304.8,13897
Week 12,1,6535.2,12433
Week 13,1,6630.4,12614
Week 14,1,5782.4,11001
Week 15,1,7360.0,14002
Week 16,1,7480.8,14232
Week 17,2,15889.6,30229
Week 18,1,4033.6,7674
Week 19,1,4308.0,8196
Week 20,3,11167.2,21245
Week 21,1,7728.8,14704
Week 22,2,10787.2,20522
Week 23,2,8094.4,15399
Week 24,1,3879.2,7380
Week 25,1,3776.0,7184
Week 26,1,4973.6,9462
Week 27,1,3866.4,7356
Week 28,3,16589.6,31561
Week 29,1,13979.2,26596
Week 30,2,10683.2,20324
Week 31,2,10885.6,20709
Week 32,1,6272.8,11934
Week 33,2,14727.2,28018
Week 34,3,14995.2,28528
Week 35,2,18552.8,35297
Week 36,3,17568.0,33423
Week 37,3,20640.0,39267
Week 38,3,11274.4,21449
Week 39,3,18075.2,34387
Week 40,7,35750.4,68013
Week 41,1,8652.8,16462
Week 42,2,9036.8,17192
Week 43,3,15165.6,28852
Week 44,4,18332.0,34876
Week 45,2,8944.0,17016
Week 46,3,11611.2,22090
Week 47,2,6950.4,13223
Week 48,4,15600.0,29678
Week 49,2,12663.2,24091
Week 50,2,13504.8,25693
Week 51,6,22906.4,43578
Week 52,1,8652.8,16462
Week 53,1,8244.0,15684
Week 54,5,22916.8,43598
Week 55,1,6377.6,12133
Week 56,2,7927.2,15081
Week 57,3,11415.2,21717
Week 58,1,7035.2,13384
Week 59,3,20816.8,39604
Week 60,1,7452.8,14179
Week 61,3,17697.6,33669
Week 62,2,12494.4,23770
Week 63,1,6078.4,11564
Week 64,1,2649.6,5040
Week 65,1,7948.8,15122
Week 66,1,5299.2,10081
Week 67,1,4143.2,7882
Week 68,1,3796.0,7222
Week 69,1,3942.4,7500
Week 70,1,7056.8,13425
Week 71,2,13953.6,26546
Week 72,1,15235.2,28985
Week 73,2,21543.2,40986
Week 74,1,3046.4,5795
Week 75,1,6955.2,13232
Week 76,3,21928.8,41719
Week 77,3,10183.2,19373
Week 78,1,3477.6,6616
Week 79,3,10766.4,20482
Week 80,2,11120.8,21156
Week 81,3,11823.2,22492
Week 82,2,19738.4,37552
Week 83,1,6537.6,12438
Week 84,1,4640.0,8827
Week 85,1,4192.8,7977
Week 86,1,6236.0,11864
Week 87,1,3859.2,7342
Week 88,1,4324.8,8228
Week 89,1,9268.8,17634
Week 90,2,9225.6,17551
Week 91,1,3707.2,7053
Week 92,1,5388.0,10250
Week 93,1,9913.6,18861
Week 94,1,3180.8,6051
Week 95,1,4302.4,8185
Week 96,1,3472.0,6605
Week 97,1,5770.4,10978
Week 98,1,3660.8,6964
Week 99,1,3033.6,5771
Week 100,1,3670.4,6983
Week 101,1,13092.8,24909
Week 102,1,19066.4,36274
Week 103,4,47859.2,91053
Week 104,2,33048.8,62876
Week 105,1,10871.2,20683
Week 106,1,21312.0,40547
Week 107,2,41699.2,79334
Week 108,1,12177.6,23168
Week 109,1,15368.0,29238
Week 110,1,16032.8,30503
Week 111,3,12159.2,23132
Week 112,1,3584.0,6818
Week 113,3,12280.0,23362
Week 114,1,4073.6,7750
Week 115,1,5792.0,11019
Week 116,1,7641.6,14538
Week 117,1,27452.0,52228
Week 118,1,7355.2,13993
Week 119,1,26619.2,50644
Week 120,2,28488.8,54200
Week 121,1,7102.4,13512
Week 122,1,9891.2,18818
Week 123,1,13006.4,24745
