Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,6352.8,4110
Week 2,2,21696.0,14038
Week 3,2,20074.4,12989
Week 4,2,42657.6,27601
Week 5,2,56234.4,36387
Week 6,3,53564.8,34659
Week 7,3,59324.0,38386
Week 8,1,19516.8,12628
Week 9,1,12511.2,8095
Week 10,2,42277.6,27356
Week 11,1,6932.8,4486
Week 12,1,25787.2,16686
Week 13,1,12321.6,7973
Week 14,1,19256.8,12460
Week 15,2,43490.4,28140
Week 16,3,35164.0,22753
Week 17,2,89276.8,57768
Week 18,2,15084.0,9759
Week 19,1,42241.6,27333
Week 20,2,35523.2,22985
Week 21,2,41184.8,26649
Week 22,2,27702.4,17925
Week 23,1,19292.0,12483
Week 24,1,26300.8,17018
Week 25,2,41547.2,26883
Week 26,1,26586.4,17203
Week 27,4,69948.0,45260
Week 28,2,15545.6,10058
Week 29,1,12719.2,8230
Week 30,3,28044.8,18145
Week 31,2,27163.2,17576
Week 32,3,27205.6,17603
Week 33,6,51568.8,33366
Week 34,2,25837.6,16718
Week 35,3,35336.8,22865
Week 36,1,6508.0,4211
Week 37,6,42083.2,27228
Week 38,1,6244.8,4040
Week 39,1,12649.6,8185
Week 40,3,58872.8,38094
Week 41,2,18350.4,11873
Week 42,2,12508.8,8093
Week 43,1,11297.6,7310
Week 44,2,18500.0,11970
Week 45,1,6424.0,4156
Week 46,1,6078.4,3933
Week 47,1,6095.2,3944
Week 48,2,18925.6,12246
Week 49,3,76232.0,49327
Week 50,1,6285.6,4067
Week 51,1,17924.8,11598
Week 52,1,6204.8,4014
Week 53,1,35562.4,23011
Week 54,3,24032.8,15550
Week 55,1,46840.8,30309
Week 56,1,22586.4,14615
Week 57,1,5948.8,3849
Week 58,4,32232.8,20855
Week 59,2,15568.0,10073
Week 60,5,55790.4,36098
Week 61,2,12084.0,7818
Week 62,2,16791.2,10864
Week 63,1,12172.8,7876
Week 64,1,18600.8,12036
