Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,6204.8,7628
Week 2,7,34438.4,42336
Week 3,13,97060.8,119326
Week 4,11,68238.4,83892
Week 5,15,130125.6,159977
Week 6,21,145877.6,179339
Week 7,14,95899.2,117898
Week 8,9,74676.0,91807
Week 9,12,96870.4,119091
Week 10,9,61044.8,75047
Week 11,9,49344.8,60661
Week 12,10,60261.6,74084
Week 13,15,53772.8,66103
Week 14,4,29992.8,36873
Week 15,13,89464.8,109985
Week 16,13,78372.8,96349
Week 17,14,113635.2,139704
Week 18,7,45039.2,55370
Week 19,20,144928.0,178173
Week 20,9,60717.6,74645
Week 21,18,145740.0,179175
Week 22,23,223634.4,274938
Week 23,11,81163.2,99780
Week 24,11,66484.8,81736
Week 25,20,106878.4,131393
Week 26,16,102271.2,125730
Week 27,13,66160.8,81335
Week 28,10,60892.8,74860
Week 29,13,75153.6,92390
Week 30,10,42787.2,52600
Week 31,18,75910.4,93320
Week 32,12,68139.2,83767
Week 33,10,29217.6,35918
Week 34,14,73571.2,90446
Week 35,14,82246.4,101112
Week 36,22,127579.2,156841
Week 37,16,57494.4,70679
Week 38,19,119252.0,146606
Week 39,23,174753.6,214840
Week 40,20,131115.2,161191
Week 41,13,80829.6,99370
Week 42,23,185432.8,227970
Week 43,10,47102.4,57905
Week 44,16,106832.0,131336
Week 45,10,105048.8,129149
Week 46,18,102324.8,125793
Week 47,13,110784.8,136197
Week 48,16,137544.0,169096
Week 49,14,105148.8,129268
Week 50,7,63952.0,78623
Week 51,6,32287.2,39693
Week 52,5,48226.4,59290
Week 53,16,139276.8,171225
Week 54,4,42107.2,51767
Week 55,12,81680.8,100417
Week 56,6,50227.2,61750
Week 57,6,37200.8,45734
Week 58,8,103459.2,127195
Week 59,2,16203.2,19920
Week 60,3,13189.6,16214
Week 61,2,4480.0,5507
Week 62,3,10719.2,13177
Week 63,3,15797.6,19421
Week 64,5,23983.2,29484
Week 65,7,17291.2,21255
Week 66,4,11855.2,14572
Week 67,10,60857.6,74816
Week 68,1,5084.8,6251
Week 69,10,60692.0,74613
Week 70,2,24010.4,29519
Week 71,7,46472.8,57133
Week 72,15,72787.2,89481
Week 73,10,60217.6,74031
Week 74,26,197904.8,243302
Week 75,5,42320.0,52027
Week 76,5,46932.8,57698
Week 77,11,61902.4,76102
Week 78,1,12880.8,15836
Week 79,3,16791.2,20642
Week 80,5,9440.8,11605
Week 81,6,19688.8,24203
Week 82,2,9361.6,11509
Week 83,4,13432.8,16512
Week 84,9,85915.2,105623
Week 85,13,80558.4,99037
Week 86,4,42577.6,52345
Week 87,14,106580.8,131027
Week 88,10,114685.6,140995
Week 89,6,71376.0,87750
Week 90,11,62640.8,77009
Week 91,12,85300.8,104869
Week 92,4,60447.2,74316
Week 93,7,78309.6,96274
Week 94,7,41528.8,51054
Week 95,10,82259.2,101129
Week 96,2,20291.2,24946
Week 97,4,30285.6,37232
Week 98,6,82681.6,101650
Week 99,6,58444.8,71853
Week 100,1,6083.2,7479
Week 101,11,113380.0,139390
Week 102,3,52956.8,65106
Week 103,6,91536.0,112537
Week 104,10,119578.4,147011
Week 105,3,37554.4,46170
Week 106,9,64912.0,79802
Week 107,12,218774.4,268967
Week 108,7,32172.8,39550
Week 109,11,132222.4,162556
Week 110,13,250678.4,308190
Week 111,6,64118.4,78826
Week 112,3,6700.0,8236
Week 113,7,87538.4,107621
Week 114,2,34377.6,42265
