Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,5932.8,10292
Week 2,1,9770.4,16949
Week 3,1,9028.8,15663
Week 4,5,32212.8,55880
Week 5,2,8812.8,15287
Week 6,2,13007.2,22564
Week 7,1,4273.6,7413
Week 8,2,9610.4,16671
Week 9,6,46480.0,80629
Week 10,1,12952.0,22468
Week 11,2,12298.4,21335
Week 12,2,9157.6,15886
Week 13,2,14323.2,24847
Week 14,1,15414.4,26740
Week 15,2,34163.2,59265
Week 16,2,31440.8,54542
Week 17,1,9641.6,16726
Week 18,1,9653.6,16746
Week 19,1,10665.6,18502
Week 20,1,3180.0,5516
Week 21,1,11012.8,19104
Week 22,1,5431.2,9421
Week 23,1,5038.4,8740
Week 24,2,19021.6,32997
Week 25,1,14398.4,24978
Week 26,2,14783.2,25644
Week 27,3,24947.2,43276
Week 28,1,18428.0,31968
Week 29,1,28029.6,48625
Week 30,1,33902.4,58813
Week 31,1,5738.4,9954
Week 32,1,9330.4,16186
Week 33,1,22055.2,38261
Week 34,1,21944.8,38069
Week 35,1,12780.8,22171
Week 36,1,16434.4,28510
Week 37,1,15980.0,27721
Week 38,1,11485.6,19925
Week 39,1,18343.2,31821
Week 40,1,12260.8,21269
Week 41,1,9280.0,16098
Week 42,2,30727.2,53304
Week 43,1,11390.4,19759
Week 44,1,4877.6,8461
Week 45,1,14636.8,25391
Week 46,1,9195.2,15951
Week 47,1,14626.4,25373
Week 48,1,17456.0,30282
Week 49,1,14158.4,24561
Week 50,1,11100.0,19256
Week 51,1,8304.0,14405
Week 52,1,14148.0,24543
Week 53,2,28460.0,49371
Week 54,2,28622.4,49652
Week 55,3,24245.6,42060
Week 56,2,7284.8,12636
Week 57,1,8924.8,15482
Week 58,1,15491.2,26873
Week 59,2,21560.8,37402
Week 60,1,11752.0,20387
Week 61,1,9192.8,15947
Week 62,1,5673.6,9842
Week 63,3,29130.4,50533
Week 64,1,9788.0,16980
Week 65,1,10754.4,18656
Week 66,1,9601.6,16656
Week 67,1,14886.4,25824
Week 68,1,6002.4,10412
Week 69,1,15364.0,26653
Week 70,4,47676.0,82705
Week 71,2,14035.2,24347
Week 72,3,40336.0,69973
Week 73,2,9208.8,15974
Week 74,1,26874.4,46621
Week 75,3,30380.0,52700
Week 76,2,28752.8,49879
Week 77,1,9636.0,16716
Week 78,5,127200.0,220663
Week 79,3,88172.0,152958
Week 80,4,61654.4,106956
