Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,15323.2,10004
Week 2,2,22984.8,15006
Week 3,1,13804.8,9012
Week 4,4,68716.0,44861
Week 5,11,197982.4,129252
Week 6,6,113520.8,74111
Week 7,9,117876.0,76951
Week 8,9,178668.0,116643
Week 9,9,152055.2,99269
Week 10,16,326356.8,213062
Week 11,14,287796.8,187888
Week 12,6,130500.0,85197
Week 13,4,61628.8,40235
Week 14,17,336054.4,219392
Week 15,8,144776.0,94516
Week 16,7,163512.8,106750
Week 17,8,144936.0,94622
Week 18,5,81712.8,53346
Week 19,4,29992.0,19579
Week 20,13,241366.4,157575
Week 21,8,151363.2,98818
Week 22,7,108376.0,70752
Week 23,6,99713.6,65098
Week 24,13,295493.6,192912
Week 25,3,51037.6,33320
Week 26,6,93958.4,61340
Week 27,10,166632.0,108784
Week 28,6,68959.2,45018
Week 29,12,183212.8,119608
Week 30,9,141824.0,92589
Week 31,9,176389.6,115154
Week 32,10,155657.6,101621
Week 33,5,71793.6,46870
Week 34,10,186280.8,121612
Week 35,12,164044.8,107095
Week 36,19,311732.0,203513
Week 37,11,172944.0,112906
Week 38,4,60403.2,39435
Week 39,8,142908.8,93298
Week 40,5,113111.2,73845
Week 41,12,202629.6,132287
Week 42,15,299965.6,195831
Week 43,21,443048.0,289245
Week 44,10,178937.6,116819
Week 45,7,165570.4,108093
Week 46,3,54267.2,35429
Week 47,16,340626.4,222378
Week 48,12,203135.2,132616
Week 49,20,295536.0,192939
Week 50,9,247545.6,161611
Week 51,22,279334.4,182360
Week 52,22,376822.4,246006
Week 53,18,311805.6,203560
Week 54,12,216880.0,141589
Week 55,13,258440.0,168724
Week 56,4,59044.0,38546
Week 57,8,205556.0,134199
Week 58,7,104963.2,68524
Week 59,6,69185.6,45167
Week 60,3,29312.8,19136
Week 61,7,130300.0,85067
Week 62,6,183975.2,120110
Week 63,7,127506.4,83242
Week 64,2,46507.2,30362
Week 65,4,32936.0,21501
Week 66,7,88076.0,57499
Week 67,9,148048.0,96652
Week 68,6,121495.2,79318
Week 69,6,117281.6,76567
Week 70,17,278752.8,181981
Week 71,1,5560.0,3629
Week 72,8,235928.8,154028
Week 73,8,163935.2,107025
Week 74,15,306273.6,199951
Week 75,16,265136.8,173093
Week 76,6,117540.0,76737
Week 77,15,369446.4,241195
Week 78,16,369983.2,241545
Week 79,10,168194.4,109804
Week 80,10,205576.0,134209
Week 81,7,109751.2,71650
Week 82,9,144592.8,94397
Week 83,1,4994.4,3260
Week 84,4,44134.4,28813
Week 85,3,63974.4,41767
Week 86,10,224608.8,146638
Week 87,18,358983.2,234363
Week 88,4,81986.4,53526
Week 89,22,484296.8,316173
Week 90,26,479972.8,313349
Week 91,7,161318.4,105317
Week 92,4,28594.4,18668
Week 93,11,217546.4,142024
Week 94,29,580121.6,378730
Week 95,8,132973.6,86811
Week 96,11,293952.0,191907
Week 97,14,259600.8,169478
Week 98,17,299934.4,195812
Week 99,5,108895.2,71092
Week 100,50,885131.2,577855
Week 101,14,187664.8,122513
Week 102,6,180060.0,117553
Week 103,5,42307.2,27619
Week 104,17,391588.8,255649
Week 105,36,577676.8,377132
Week 106,19,277380.0,181086
Week 107,21,360696.8,235476
Week 108,37,639688.8,417615
Week 109,11,177984.0,116194
Week 110,11,143948.8,93975
Week 111,10,220998.4,144278
Week 112,21,306376.0,200013
Week 113,32,411667.2,268754
Week 114,17,256974.4,167763
Week 115,6,115292.0,75268
Week 116,18,222107.2,145000
Week 117,17,319458.4,208557
Week 118,10,101562.4,66302
Week 119,20,278393.6,181747
Week 120,15,169961.6,110957
Week 121,22,197121.6,128685
Week 122,8,72793.6,47520
Week 123,11,168413.6,109946
Week 124,7,106677.6,69643
Week 125,7,77450.4,50563
Week 126,10,135036.8,88157
Week 127,6,34713.6,22660
Week 128,6,57319.2,37418
Week 129,7,65980.0,43073
Week 130,8,84384.8,55089
Week 131,7,117831.2,76926
Week 132,9,127048.8,82942
Week 133,7,79253.6,51740
Week 134,8,89335.2,58322
Week 135,18,161592.8,105492
Week 136,15,168814.4,110206
Week 137,6,39390.4,25713
Week 138,17,246425.6,160875
Week 139,7,96188.8,62795
Week 140,8,130613.6,85270
Week 141,19,181152.0,118261
Week 142,2,6028.8,3935
Week 143,10,124933.6,81560
Week 144,6,119015.2,77699
Week 145,7,129148.0,84313
Week 146,7,118291.2,77225
Week 147,7,114856.0,74984
Week 148,4,61628.0,40234
Week 149,6,68041.6,44420
Week 150,4,51583.2,33675
Week 151,3,40259.2,26283
Week 152,1,19272.0,12582
Week 153,6,178996.0,116860
