Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,9032.8,21223
Week 2,6,41496.0,97495
Week 3,3,14739.2,34630
Week 4,2,19255.2,45241
Week 5,3,16441.6,38629
Week 6,6,35128.0,82532
Week 7,2,10412.8,24465
Week 8,2,15942.4,37457
Week 9,2,13464.0,31634
Week 10,2,10181.6,23921
Week 11,2,15098.4,35473
Week 12,4,22652.0,53221
Week 13,3,21216.8,49849
Week 14,3,16593.6,38987
Week 15,5,28032.0,65862
Week 16,2,10284.0,24162
Week 17,4,22372.8,52563
Week 18,4,26045.6,61194
Week 19,5,32895.2,77287
Week 20,4,22000.0,51688
Week 21,4,20328.8,47762
Week 22,11,62638.4,147168
Week 23,2,8720.8,20489
Week 24,4,20880.8,49059
Week 25,4,21886.4,51422
Week 26,2,11263.2,26462
Week 27,1,4532.8,10650
Week 28,2,10130.4,23802
Week 29,7,23371.2,54908
Week 30,3,9371.2,22016
Week 31,3,31142.4,73170
Week 32,3,15811.2,37147
Week 33,5,18012.8,42321
Week 34,5,12041.6,28290
Week 35,2,15231.2,35786
Week 36,3,11072.8,26014
Week 37,3,12012.8,28224
Week 38,2,5592.8,13140
Week 39,5,17959.2,42194
Week 40,2,6104.8,14343
Week 41,3,15489.6,36392
Week 42,5,17592.0,41332
Week 43,5,25132.0,59047
Week 44,2,17185.6,40378
