Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,8505.6,17408
Week 2,1,6875.2,14071
Week 3,2,27192.8,55655
Week 4,1,9076.0,18575
Week 5,1,6619.2,13547
Week 6,1,6695.2,13703
Week 7,2,26119.2,53458
Week 8,1,12864.0,26328
Week 9,1,19829.6,40585
Week 10,1,13015.2,26638
Week 11,2,14473.6,29622
Week 12,1,6562.4,13431
Week 13,4,37168.0,76071
Week 14,2,12761.6,26118
Week 15,1,6357.6,13012
Week 16,1,23910.4,48937
Week 17,2,14289.6,29245
Week 18,3,33023.2,67587
Week 19,4,94379.2,193165
Week 20,2,22004.8,45036
Week 21,2,20491.2,41939
Week 22,1,7231.2,14800
Week 23,2,14173.6,29008
Week 24,1,26080.8,53379
Week 25,2,29431.2,60236
Week 26,3,28176.8,57668
Week 27,7,120349.6,246317
Week 28,6,114156.8,233643
Week 29,3,54367.2,111273
Week 30,6,97520.8,199594
Week 31,5,93862.4,192107
Week 32,11,185743.2,380157
Week 33,4,87924.0,179954
Week 34,3,43200.8,88418
Week 35,1,10719.2,21939
Week 36,3,52724.0,107910
Week 37,1,30196.0,61802
Week 38,4,77195.2,157993
Week 39,1,24141.6,49410
Week 40,1,12243.2,25058
Week 41,2,25210.4,51597
Week 42,4,55211.2,112999
Week 43,2,24608.8,50366
Week 44,2,11890.4,24335
Week 45,1,17701.6,36229
Week 46,1,23917.6,48952
Week 47,2,11974.4,24507
Week 48,1,6044.8,12371
Week 49,3,17649.6,36122
Week 50,1,7323.2,14988
Week 51,1,5503.2,11263
Week 52,1,11987.2,24534
Week 53,1,5388.8,11029
Week 54,1,11834.4,24221
Week 55,1,5636.0,11535
Week 56,2,17807.2,36445
Week 57,3,53712.0,109931
Week 58,2,19561.6,40035
Week 59,2,22147.2,45328
Week 60,1,13316.8,27255
Week 61,1,9733.6,19921
Week 62,2,26463.2,54161
Week 63,7,167898.4,343636
Week 64,1,14494.4,29665
Week 65,1,19978.4,40889
Week 66,4,71873.6,147102
Week 67,5,97856.8,200282
Week 68,1,7002.4,14331
Week 69,2,25080.0,51331
Week 70,1,7047.2,14423
Week 71,2,49624.0,101565
Week 72,4,87196.8,178464
Week 73,5,104117.6,213095
Week 74,4,76343.2,156250
Week 75,9,197700.0,404629
Week 76,3,46724.0,95628
Week 77,5,107309.6,219629
Week 78,11,201416.8,412235
Week 79,3,43023.2,88055
Week 80,2,11560.0,23659
Week 81,4,67311.2,137764
Week 82,1,34557.6,70729
Week 83,1,32872.8,67280
Week 84,11,254557.6,520999
Week 85,1,32343.2,66197
Week 86,5,103960.8,212775
Week 87,2,58578.4,119891
Week 88,6,66833.6,136785
