Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,4800.0,13190
Week 2,2,8911.2,24488
Week 3,6,35134.4,96550
Week 4,2,9873.6,27133
Week 5,4,22740.8,62491
Week 6,8,45562.4,125205
Week 7,13,64340.8,176806
Week 8,3,16547.2,45471
Week 9,6,33937.6,93260
Week 10,8,35755.2,98253
Week 11,4,17981.6,49413
Week 12,5,24936.8,68527
Week 13,4,21980.0,60402
Week 14,2,8831.2,24268
Week 15,6,29418.4,80840
Week 16,2,7379.2,20277
Week 17,1,5546.4,15241
Week 18,9,48178.4,132394
Week 19,6,31732.8,87202
Week 20,17,93944.0,258155
Week 21,24,127034.4,349090
Week 22,18,97136.8,266931
Week 23,29,150213.6,412788
Week 24,30,152427.2,418868
Week 25,18,87133.6,239443
Week 26,42,207444.0,570051
Week 27,34,167398.4,460003
Week 28,15,72115.2,198173
Week 29,3,15133.6,41586
Week 30,17,88112.0,242129
Week 31,16,80796.0,222026
Week 32,8,38266.4,105155
Week 33,2,10648.8,29263
Week 34,21,107403.2,295141
Week 35,10,48497.6,133271
Week 36,39,189555.2,520892
Week 37,33,154607.2,424856
Week 38,40,195512.0,537263
Week 39,20,95932.8,263623
Week 40,20,103245.6,283718
Week 41,20,96434.4,265000
Week 42,16,74575.2,204929
Week 43,8,33114.4,90997
Week 44,9,47666.4,130986
Week 45,5,24049.6,66087
Week 46,9,45214.4,124248
Week 47,3,16550.4,45481
Week 48,6,26125.6,71793
Week 49,11,48490.4,133251
Week 50,1,4950.4,13604
Week 51,11,56097.6,154156
Week 52,9,42133.6,115782
Week 53,1,4566.4,12548
Week 54,2,10390.4,28553
Week 55,3,9870.4,27123
Week 56,2,10944.0,30075
Week 57,3,15650.4,43007
Week 58,3,16245.6,44644
Week 59,2,10554.4,29004
Week 60,4,16300.0,44792
Week 61,1,4062.4,11163
Week 62,2,9272.8,25481
Week 63,2,9751.2,26796
Week 64,1,4113.6,11304
Week 65,3,12267.2,33710
Week 66,1,1889.6,5192
Week 67,2,10064.8,27658
Week 68,2,10783.2,29632
Week 69,4,20868.0,57345
Week 70,2,8338.4,22913
Week 71,1,5391.2,14815
Week 72,3,15559.2,42756
Week 73,1,2336.8,6421
Week 74,2,10463.2,28753
Week 75,1,11495.2,31589
Week 76,2,9330.4,25640
Week 77,1,5175.2,14221
Week 78,2,10365.6,28485
Week 79,3,12879.2,35392
Week 80,1,5632.0,15477
Week 81,1,5268.8,14479
Week 82,4,20133.6,55327
Week 83,4,20991.2,57684
Week 84,2,11394.4,31311
Week 85,1,5083.2,13969
Week 86,2,10133.6,27847
Week 87,3,12920.8,35507
Week 88,3,14587.2,40085
Week 89,1,4920.8,13522
Week 90,5,24278.4,66717
Week 91,5,24517.6,67374
Week 92,7,32144.8,88334
Week 93,6,26798.4,73640
Week 94,1,3760.8,10334
Week 95,1,4836.0,13289
Week 96,2,7407.2,20355
Week 97,1,4920.0,13520
Week 98,2,9676.8,26591
Week 99,4,19132.0,52574
Week 100,4,17338.4,47646
Week 101,2,9379.2,25774
