Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,15592.0,26291
Week 2,1,10308.8,17382
Week 3,1,4166.4,7025
Week 4,1,4713.6,7948
Week 5,2,20675.2,34862
Week 6,1,28869.6,48679
Week 7,1,10726.4,18086
Week 8,2,54102.4,91226
Week 9,2,69260.0,116786
Week 10,3,51686.4,87152
Week 11,3,48175.2,81232
Week 12,3,53332.8,89929
Week 13,1,13646.4,23010
Week 14,3,87741.6,147948
Week 15,3,42041.6,70889
Week 16,5,38077.6,64204
Week 17,1,11828.8,19945
Week 18,1,6702.4,11301
Week 19,1,6498.4,10957
Week 20,1,4650.4,7841
Week 21,2,21114.4,35602
Week 22,5,61019.2,102888
Week 23,4,34110.4,57514
Week 24,1,14569.6,24567
Week 25,1,22609.6,38124
Week 26,3,34097.6,57494
Week 27,4,63645.6,107317
Week 28,2,24579.2,41445
Week 29,6,71183.2,120027
Week 30,1,21670.4,36540
Week 31,3,52643.2,88766
Week 32,6,87080.8,146833
Week 33,10,106232.8,179123
Week 34,1,15645.6,26381
Week 35,3,27001.6,45528
Week 36,2,28616.8,48253
Week 37,5,70888.0,119529
Week 38,3,52524.0,88564
Week 39,9,103495.2,174510
Week 40,1,5323.2,8975
Week 41,3,31214.4,52632
Week 42,5,36243.2,61111
Week 43,4,34850.4,58763
Week 44,3,44511.2,75053
Week 45,2,6151.2,10371
Week 46,2,20148.8,33974
Week 47,1,4928.0,8309
Week 48,3,18184.0,30660
Week 49,1,7880.8,13288
Week 50,3,13786.4,23245
Week 51,4,20039.2,33788
Week 52,3,16964.0,28603
Week 53,2,11678.4,19692
Week 54,8,56184.0,94734
Week 55,2,11248.0,18966
Week 56,3,27620.0,46571
Week 57,3,27765.6,46817
Week 58,2,24284.0,40946
Week 59,4,45545.6,76796
Week 60,4,48388.8,81591
Week 61,4,48737.6,82179
Week 62,3,42476.8,71622
Week 63,3,16624.8,28032
Week 64,7,65288.8,110085
Week 65,5,62393.6,105205
Week 66,3,36032.0,60756
Week 67,9,96084.8,162013
Week 68,8,162187.2,273477
Week 69,5,47947.2,80845
Week 70,8,82437.6,139002
Week 71,8,80239.2,135295
Week 72,4,43136.0,72735
Week 73,7,63451.2,106989
Week 74,5,45905.6,77403
Week 75,4,42272.0,71277
Week 76,2,24188.0,40785
Week 77,1,14002.4,23610
Week 78,1,22055.2,37189
Week 79,3,34176.0,57626
Week 80,1,24060.0,40569
Week 81,1,14844.8,25031
Week 82,5,144349.6,243399
Week 83,3,51685.6,87151
Week 84,4,83412.8,140648
Week 85,2,13764.8,23210
Week 86,3,21300.0,35915
Week 87,3,21824.0,36799
Week 88,4,25451.2,42914
Week 89,3,21205.6,35756
Week 90,3,19025.6,32079
Week 91,1,30967.2,52216
Week 92,1,44302.4,74702
Week 93,6,135358.4,228237
Week 94,2,12563.2,21183
Week 95,3,32880.8,55442
Week 96,10,121284.0,204504
Week 97,6,67612.8,114007
Week 98,7,90724.0,152975
Week 99,5,83961.6,141573
Week 100,8,141389.6,238407
Week 101,14,252591.2,425914
Week 102,6,98140.8,165481
Week 103,19,334985.6,564843
Week 104,8,125146.4,211017
Week 105,1,25028.0,42202
Week 106,1,39695.2,66933
Week 107,2,50500.8,85154
Week 108,1,24571.2,41431
Week 109,4,61530.4,103750
Week 110,5,131504.8,221739
Week 111,1,22994.4,38773
Week 112,5,79992.8,134880
Week 113,3,76620.0,129194
Week 114,1,14838.4,25020
Week 115,3,35552.0,59946
Week 116,1,58708.8,98994
Week 117,1,24044.8,40544
Week 118,3,54533.6,91953
Week 119,5,108845.6,183533
Week 120,3,54417.6,91758
Week 121,5,125587.2,211762
Week 122,5,110669.6,186608
Week 123,5,97179.2,163861
