Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,2,11645.6,26341
Week 2,2,11787.2,26661
Week 3,4,18249.6,41278
Week 4,3,13166.4,29780
Week 5,5,20937.6,47357
Week 6,1,3782.4,8555
Week 7,2,8742.4,19774
Week 8,1,4985.6,11277
Week 9,1,4102.4,9279
Week 10,2,10976.0,24826
Week 11,2,11961.6,27056
Week 12,2,12141.6,27463
Week 13,2,11905.6,26929
Week 14,2,11035.2,24961
Week 15,1,7141.6,16154
Week 16,1,5588.0,12639
Week 17,2,8843.2,20002
Week 18,2,10436.0,23605
Week 19,6,26132.0,59107
Week 20,3,12475.2,28218
Week 21,4,17780.0,40217
Week 22,3,17506.4,39598
Week 23,4,18024.0,40769
Week 24,2,7688.0,17389
Week 25,2,10401.6,23527
Week 26,3,14480.0,32752
Week 27,5,19229.6,43494
Week 28,4,24082.4,54472
Week 29,1,5529.6,12507
Week 30,2,13394.4,30297
Week 31,1,6116.8,13836
Week 32,3,16988.0,38425
Week 33,4,20960.0,47410
Week 34,3,12381.6,28006
Week 35,7,36437.6,82417
Week 36,3,11159.2,25241
Week 37,2,8844.0,20004
Week 38,5,18973.6,42916
Week 39,23,129255.2,292360
Week 40,1,4616.0,10441
Week 41,5,17594.4,39797
Week 42,1,2656.0,6007
Week 43,3,13165.6,29779
Week 44,6,28865.6,65291
Week 45,4,26673.6,60332
Week 46,6,28372.8,64175
Week 47,7,31668.8,71629
Week 48,12,58586.4,132515
Week 49,3,12677.6,28674
Week 50,22,110188.0,249230
Week 51,2,12289.6,27798
Week 52,1,6785.6,15348
Week 53,2,10495.2,23739
Week 54,3,11815.2,26725
Week 55,7,33423.2,75598
Week 56,6,31408.8,71044
Week 57,2,9626.4,21774
Week 58,5,25336.8,57308
Week 59,4,18136.0,41020
Week 60,13,57635.2,130362
Week 61,3,15571.2,35220
Week 62,2,8228.8,18612
Week 63,4,24887.2,56291
Week 64,5,23772.8,53772
Week 65,11,56920.8,128748
Week 66,6,30664.8,69359
Week 67,6,34453.6,77931
Week 68,9,34449.6,77919
Week 69,14,66206.4,149750
Week 70,16,81795.2,185011
Week 71,7,30991.2,70099
Week 72,5,22739.2,51433
Week 73,11,51796.0,117157
Week 74,8,30910.4,69914
Week 75,2,8157.6,18452
Week 76,13,59897.6,135480
Week 77,13,55482.4,125493
Week 78,12,66559.2,150551
Week 79,8,34656.0,78388
Week 80,10,51359.2,116168
Week 81,5,28667.2,64843
Week 82,14,56673.6,128189
Week 83,10,46605.6,105417
Week 84,14,74315.2,168093
Week 85,9,47083.2,106497
Week 86,12,53405.6,120798
Week 87,12,56309.6,127367
Week 88,31,140838.4,318558
Week 89,14,62235.2,140768
Week 90,10,43806.4,99084
Week 91,13,68735.2,155471
Week 92,6,34125.6,77188
Week 93,6,25969.6,58740
Week 94,12,45944.8,103918
Week 95,4,22663.2,51262
Week 96,17,76371.2,172743
Week 97,10,55094.4,124618
Week 98,8,33880.0,76633
Week 99,9,40565.6,91753
Week 100,5,23796.8,53825
Week 101,6,29420.0,66545
Week 102,9,38857.6,87891
Week 103,3,15041.6,34023
Week 104,8,38679.2,87488
Week 105,6,24288.8,54938
Week 106,7,29744.0,67276
Week 107,10,29812.0,67428
Week 108,6,27568.8,62359
Week 109,7,30200.0,68309
Week 110,17,63071.2,142657
Week 111,4,16376.0,37040
Week 112,8,34372.8,77746
Week 113,5,19521.6,44155
Week 114,5,22274.4,50381
Week 115,4,14377.6,32520
Week 116,1,3468.0,7844
Week 117,2,9621.6,21763
Week 118,2,11876.0,26862
Week 119,7,23570.4,53312
Week 120,9,31091.2,70321
Week 121,12,50159.2,113451
Week 122,5,23772.8,53772
Week 123,1,3294.4,7451
Week 124,6,30148.0,68192
Week 125,6,23211.2,52499
Week 126,6,28124.0,63612
Week 127,9,39716.8,89834
Week 128,4,18358.4,41524
Week 129,20,88861.6,200993
Week 130,9,40334.4,91233
Week 131,6,26244.8,59361
Week 132,7,32624.8,73794
Week 133,9,42752.8,96702
Week 134,4,21276.8,48126
Week 135,3,14005.6,31679
Week 136,4,19988.8,45212
Week 137,5,26412.0,59741
Week 138,8,39807.2,90040
Week 139,7,32003.2,72386
Week 140,7,33490.4,75750
Week 141,9,39410.4,89142
Week 142,14,69552.8,157321
Week 143,2,10487.2,23721
Week 144,1,4183.2,9462
Week 145,5,34298.4,77581
Week 146,3,12164.8,27515
Week 147,1,4613.6,10435
Week 148,1,3536.0,7998
