Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,72.0,44
Week 2,1,276.0,172
Week 3,1,265.6,165
Week 4,1,365.6,228
Week 5,1,164.0,102
Week 6,1,192.0,119
Week 7,1,242.4,151
Week 8,1,243.2,151
Week 9,1,229.6,143
Week 10,1,182.4,113
Week 11,1,261.6,163
Week 12,1,124.0,77
Week 13,2,2155.2,1345
Week 14,1,208.0,129
Week 15,1,56.0,34
Week 16,1,299.2,186
Week 17,1,733.6,458
Week 18,1,704.8,440
Week 19,1,355.2,221
Week 20,1,868.8,542
Week 21,1,328.0,204
Week 22,1,835.2,521
Week 23,1,421.6,263
Week 24,1,850.4,530
Week 25,1,128.0,79
Week 26,1,416.0,259
Week 27,1,649.6,405
Week 28,1,928.8,579
Week 29,1,16.0,9
Week 30,1,43.2,26
Week 31,1,64.8,40
Week 32,1,202.4,126
Week 33,1,261.6,163
Week 34,1,284.0,177
Week 35,1,386.4,241
Week 36,1,532.8,332
Week 37,1,675.2,421
Week 38,1,581.6,363
Week 39,1,281.6,175
Week 40,1,332.8,207
Week 41,1,332.8,207
Week 42,1,268.8,167
Week 43,1,2361.6,1474
Week 44,1,1230.4,768
Week 45,1,1011.2,631
Week 46,1,795.2,496
Week 47,2,4644.0,2899
Week 48,1,604.0,377
Week 49,1,134.4,83
Week 50,1,134.4,83
Week 51,1,843.2,526
Week 52,1,400.0,249
Week 53,1,783.2,488
Week 54,1,1049.6,655
Week 55,1,2720.0,1698
Week 56,1,670.4,418
Week 57,1,493.6,308
Week 58,1,746.4,466
Week 59,1,408.0,254
Week 60,1,373.6,233
Week 61,1,393.6,245
Week 62,1,1688.8,1054
Week 63,1,752.8,470
Week 64,1,1286.4,803
Week 65,1,572.8,357
Week 66,1,733.6,458
Week 67,1,493.6,308
Week 68,1,744.0,464
Week 69,1,772.8,482
Week 70,1,44.0,27
Week 71,1,1968.8,1229
Week 72,1,27.2,16
Week 73,1,1131.2,706
Week 74,1,243.2,151
Week 75,1,512.8,320
Week 76,1,300.8,187
Week 77,1,1144.8,714
Week 78,1,728.0,454
Week 79,1,292.8,182
Week 80,1,125.6,78
Week 81,1,428.0,267
Week 82,1,585.6,365
Week 83,1,324.0,202
Week 84,1,668.0,417
Week 85,1,551.2,344
Week 86,1,474.4,296
Week 87,1,511.2,319
Week 88,1,737.6,460
Week 89,1,430.4,268
Week 90,1,404.8,252
Week 91,1,1106.4,690
Week 92,1,417.6,260
Week 93,1,2.4,1
Week 94,1,107.2,66
Week 95,1,448.0,279
Week 96,1,347.2,216
Week 97,1,384.0,239
Week 98,1,644.8,402
Week 99,1,725.6,453
Week 100,1,276.0,172
Week 101,1,1119.2,698
