Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,4950.4,6399
Week 2,1,4950.4,6399
Week 3,2,8662.4,11197
Week 4,1,5218.4,6746
Week 5,2,11446.4,14797
Week 6,6,39049.6,50479
Week 7,2,24076.0,31124
Week 8,2,25852.0,33420
Week 9,2,16589.6,21445
Week 10,2,10915.2,14110
Week 11,2,5983.2,7734
Week 12,5,26012.8,33626
Week 13,2,10061.6,13007
Week 14,4,19963.2,25806
Week 15,2,13340.0,17244
Week 16,2,10453.6,13513
Week 17,4,8861.6,11454
Week 18,2,5474.4,7076
Week 19,3,34652.0,44796
Week 20,7,71325.6,92204
Week 21,5,83510.4,107957
Week 22,5,69694.4,90096
Week 23,2,10906.4,14099
Week 24,4,58610.4,75768
Week 25,4,38260.0,49459
Week 26,8,80020.0,103444
Week 27,1,9039.2,11685
Week 28,2,11664.8,15078
Week 29,2,19744.0,25524
Week 30,1,6961.6,8999
Week 31,1,16711.2,21603
Week 32,1,17970.4,23231
Week 33,2,20872.8,26983
Week 34,5,83779.2,108305
Week 35,2,33282.4,43025
Week 36,1,14331.2,18527
Week 37,2,12822.4,16576
Week 38,2,11453.6,14806
Week 39,1,17890.4,23128
Week 40,1,9028.8,11672
Week 41,2,19312.0,24965
Week 42,4,35460.8,45840
Week 43,2,18500.0,23915
Week 44,1,9804.0,12674
Week 45,4,64228.8,83031
Week 46,1,23669.6,30599
Week 47,5,72770.4,94073
Week 48,2,38013.6,49142
Week 49,3,17777.6,22981
Week 50,2,27572.8,35644
Week 51,2,51484.0,66556
Week 52,2,12272.0,15864
Week 53,2,32267.2,41713
Week 54,2,45268.8,58521
Week 55,2,11884.8,15363
Week 56,4,50406.4,65163
Week 57,2,12223.2,15801
Week 58,3,20796.8,26884
Week 59,2,12172.8,15736
Week 60,4,81228.0,105008
Week 61,1,17600.0,22752
Week 62,2,42650.4,55136
Week 63,4,38839.2,50209
Week 64,4,92312.0,119337
Week 65,1,4752.0,6143
Week 66,3,67983.2,87885
Week 67,2,11742.4,15179
Week 68,1,17664.0,22835
Week 69,2,28631.2,37012
Week 70,4,62877.6,81284
Week 71,1,10339.2,13366
Week 72,2,31250.4,40398
Week 73,2,35526.4,45927
Week 74,2,27963.2,36150
Week 75,1,15109.6,19533
Week 76,2,12320.0,15926
Week 77,2,10324.8,13346
Week 78,2,17782.4,22988
Week 79,1,8952.8,11573
Week 80,1,25829.6,33391
Week 81,6,129096.0,166889
Week 82,1,11762.4,15206
Week 83,2,36268.0,46886
Week 84,4,59296.0,76655
Week 85,2,37032.0,47873
Week 86,2,20817.6,26912
Week 87,3,65808.0,85073
Week 88,2,39432.8,50976
Week 89,2,12736.0,16464
Week 90,2,16444.0,21257
Week 91,1,9703.2,12544
Week 92,1,8688.0,11231
Week 93,4,94266.4,121863
Week 94,2,44717.6,57809
Week 95,6,119772.8,154837
Week 96,2,36674.4,47411
Week 97,4,81386.4,105213
Week 98,3,96297.6,124490
Week 99,3,106785.6,138048
Week 100,5,159873.6,206678
Week 101,6,144528.0,186840
Week 102,1,9258.4,11969
Week 103,1,10644.0,13760
Week 104,4,23664.0,30591
Week 105,1,7184.0,9287
Week 106,1,27053.6,34974
Week 107,2,31172.0,40297
Week 108,2,14192.8,18347
Week 109,3,16478.4,21302
Week 110,2,12936.0,16722
Week 111,4,48283.2,62417
Week 112,2,20788.0,26873
Week 113,5,68679.2,88783
Week 114,1,7960.8,10291
Week 115,2,43800.0,56623
Week 116,1,13736.0,17757
Week 117,2,21245.6,27465
Week 118,1,8772.0,11340
Week 119,1,15300.0,19779
Week 120,2,31264.8,40417
Week 121,3,21986.4,28421
Week 122,2,14181.6,18333
Week 123,3,27702.4,35812
Week 124,3,36352.0,46994
Week 125,1,5184.0,6701
Week 126,1,5918.4,7651
Week 127,2,5921.6,7654
Week 128,2,8108.8,10482
Week 129,2,6881.6,8895
Week 130,2,21085.6,27258
Week 131,1,5882.4,7604
Week 132,1,7304.0,9442
Week 133,1,15376.0,19877
Week 134,1,10016.8,12949
Week 135,1,11334.4,14652
Week 136,1,6034.4,7801
Week 137,1,10784.0,13941
Week 138,1,9008.0,11645
Week 139,1,5719.2,7393
Week 140,1,4854.4,6275
Week 141,1,7505.6,9703
Week 142,1,4884.8,6314
Week 143,1,5180.0,6696
Week 144,1,5820.8,7524
Week 145,2,33028.0,42697
Week 146,1,5144.0,6650
Week 147,1,8852.0,11443
Week 148,1,7712.8,9970
Week 149,1,9349.6,12086
Week 150,1,9868.8,12758
Week 151,1,8995.2,11628
Week 152,1,12879.2,16649
Week 153,1,11420.0,14763
Week 154,1,24447.2,31604
Week 155,1,22986.4,29716
Week 156,2,33883.2,43802
Week 157,2,31807.2,41119
Week 158,2,32026.4,41402
Week 159,1,24354.4,31484
Week 160,1,12084.8,15622
Week 161,1,11528.0,14903
Week 162,1,28535.2,36889
Week 163,1,14558.4,18820
Week 164,1,15680.8,20271
Week 165,1,15704.8,20302
Week 166,1,31571.2,40814
Week 167,2,31377.6,40563
Week 168,1,27043.2,34960
Week 169,1,7725.6,9987
Week 170,1,16324.0,21103
Week 171,1,25369.6,32797
Week 172,1,16358.4,21147
Week 173,3,53290.4,68890
Week 174,1,4121.6,5328
Week 175,1,7500.0,9695
Week 176,2,24264.0,31367
Week 177,2,30454.4,39369
Week 178,1,32428.8,41923
Week 179,1,7530.4,9735
Week 180,2,51840.0,67016
Week 181,1,18266.4,23614
Week 182,1,37130.4,48001
Week 183,2,24337.6,31462
Week 184,1,27803.2,35943
