Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,1,11760.0,8334
Week 2,1,12223.2,8662
Week 3,1,12196.8,8643
Week 4,1,12414.4,8798
Week 5,1,13732.0,9731
Week 6,1,12413.6,8797
Week 7,1,12936.0,9167
Week 8,1,12936.0,9167
Week 9,1,13025.6,9231
Week 10,1,12936.0,9167
Week 11,2,26668.0,18898
Week 12,1,1680.0,1190
Week 13,1,13681.6,9696
Week 14,1,25905.6,18359
Week 15,1,13464.0,9542
Week 16,1,25872.0,18335
Week 17,1,13562.4,9611
Week 18,1,15234.4,10796
Week 19,1,15252.8,10809
Week 20,2,26928.0,19084
Week 21,1,15208.0,10778
Week 22,1,13348.8,9460
Week 23,2,28619.2,20282
Week 24,1,15112.8,10710
Week 25,1,14664.0,10392
Week 26,1,14744.0,10449
Week 27,2,44152.0,31290
Week 28,1,12984.0,9201
Week 29,1,15108.8,10707
Week 30,1,15028.8,10651
Week 31,1,15032.0,10653
Week 32,1,15300.0,10843
Week 33,4,69976.0,49591
Week 34,1,58989.6,41806
Week 35,1,37656.0,26687
Week 36,1,29344.0,20796
Week 37,4,85933.6,60900
Week 38,3,58322.4,41332
Week 39,2,26697.6,18920
Week 40,1,15124.8,10719
Week 41,2,26697.6,18920
Week 42,1,24888.0,17638
Week 43,2,28766.4,20386
Week 44,1,13164.0,9329
Week 45,1,13348.8,9460
Week 46,2,25771.2,18263
Week 47,2,28473.6,20179
Week 48,3,39244.8,27811
Week 49,1,15173.6,10753
Week 50,1,13348.8,9460
Week 51,2,39084.0,27698
Week 52,2,22538.4,15972
Week 53,1,29400.0,20835
Week 54,1,22656.0,16056
Week 55,1,14712.0,10426
Week 56,5,96592.8,68453
Week 57,2,28948.0,20515
Week 58,4,52466.4,37181
Week 59,4,68804.0,48761
Week 60,2,24876.0,17629
Week 61,3,43338.4,30713
Week 62,2,26497.6,18778
Week 63,2,28594.4,20264
Week 64,3,49652.0,35188
Week 65,1,8534.4,6048
Week 66,3,51689.6,36631
Week 67,1,23218.4,16455
Week 68,1,14416.0,10216
Week 69,1,11761.6,8335
Week 70,1,13804.0,9782
Week 71,2,25618.4,18155
Week 72,1,11793.6,8358
Week 73,1,15054.4,10669
Week 74,1,17544.0,12433
Week 75,1,15272.0,10823
Week 76,1,18540.0,13139
Week 77,1,14720.0,10432
Week 78,1,14684.0,10406
Week 79,1,16812.0,11914
Week 80,1,14720.0,10432
Week 81,1,13488.0,9559
Week 82,1,36552.0,25904
Week 83,2,35244.0,24976
Week 84,1,10968.0,7773
Week 85,1,13488.0,9559
Week 86,1,18540.0,13139
Week 87,1,26176.0,18551
Week 88,1,25872.0,18335
Week 89,1,13080.0,9269
Week 90,1,12936.0,9167
Week 91,1,19740.0,13989
Week 92,2,29728.8,21068
Week 93,2,44748.0,31712
Week 94,1,36576.0,25921
Week 95,2,30528.0,21634
Week 96,1,54912.0,38916
Week 97,3,41304.0,29271
Week 98,2,45336.0,32129
Week 99,2,24492.0,17357
Week 100,1,31068.0,22018
Week 101,3,113268.0,80273
Week 102,1,25629.6,18163
Week 103,1,18528.0,13130
Week 104,1,26256.0,18607
Week 105,1,25672.0,18193
Week 106,1,21584.0,15296
Week 107,1,12936.0,9167
Week 108,1,18076.0,12810
Week 109,3,69664.0,49370
Week 110,1,28924.0,20498
Week 111,1,25872.0,18335
Week 112,1,25304.0,17933
Week 113,1,18076.0,12810
Week 114,2,50236.0,35602
Week 115,1,18288.0,12960
Week 116,2,56990.4,40388
Week 117,2,41352.0,29305
Week 118,1,10212.0,7237
Week 119,1,18288.0,12960
Week 120,4,76440.0,54171
