Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,4,28818.4,48618
Week 2,2,9412.0,15878
Week 3,1,3748.8,6324
Week 4,2,4220.8,7120
Week 5,2,4438.4,7487
Week 6,4,27635.2,46621
Week 7,9,64524.8,108856
Week 8,6,53684.8,90568
Week 9,1,8964.0,15123
Week 10,2,24292.8,40983
Week 11,4,31046.4,52377
Week 12,2,15148.8,25557
Week 13,1,23055.2,38896
Week 14,2,24812.0,41860
Week 15,3,30143.2,50854
Week 16,3,23527.2,39692
Week 17,5,34096.8,57523
Week 18,2,5108.0,8617
Week 19,4,10452.0,17631
Week 20,2,14864.8,25077
Week 21,2,9346.4,15767
Week 22,2,5172.8,8726
Week 23,1,16849.6,28427
Week 24,3,12871.2,21714
Week 25,1,13320.8,22473
Week 26,1,5568.8,9395
Week 27,1,7558.4,12751
Week 28,1,6280.0,10595
Week 29,1,46434.4,78339
Week 30,1,6515.2,10991
Week 31,1,6328.8,10677
Week 32,1,12692.8,21414
Week 33,2,32248.0,54405
Week 34,1,18019.2,30400
Week 35,3,22978.4,38765
Week 36,5,33403.2,56352
Week 37,7,62167.2,104879
Week 38,6,58779.2,99163
Week 39,7,59343.2,100115
Week 40,3,29399.2,49598
Week 41,2,18560.0,31312
Week 42,1,16759.2,28274
Week 43,3,37682.4,63573
Week 44,7,56232.0,94865
Week 45,1,5493.6,9268
Week 46,7,45524.8,76803
Week 47,2,16829.6,28393
Week 48,4,42561.6,71804
Week 49,3,22101.6,37287
Week 50,1,15189.6,25626
Week 51,5,70364.8,118710
Week 52,1,6600.0,11134
Week 53,3,41991.2,70842
Week 54,3,17555.2,29617
Week 55,7,147795.2,249343
Week 56,6,74581.6,125824
Week 57,4,39858.4,67244
Week 58,1,17291.2,29172
Week 59,7,95148.8,160522
Week 60,2,47716.8,80502
Week 61,2,31660.0,53412
Week 62,1,8587.2,14487
Week 63,1,25579.2,43154
Week 64,8,176876.0,298404
Week 65,2,29216.0,49290
Week 66,4,69372.8,117038
Week 67,2,23186.4,39117
Week 68,5,111598.4,188276
Week 69,5,110604.8,186600
Week 70,3,79690.4,134445
Week 71,1,37201.6,62763
Week 72,3,78365.6,132210
Week 73,6,127368.0,214881
Week 74,3,84287.2,142200
Week 75,3,96044.0,162035
Week 76,1,19245.6,32469
Week 77,2,34472.8,58158
Week 78,1,7935.2,13387
Week 79,2,11737.6,19802
Week 80,1,10356.8,17473
Week 81,1,8769.6,14795
Week 82,1,10620.8,17918
Week 83,2,7152.8,12067
Week 84,2,42089.6,71008
Week 85,3,25406.4,42862
Week 86,1,7088.8,11959
Week 87,1,7082.4,11948
Week 88,3,36607.2,61759
Week 89,1,8419.2,14204
Week 90,1,8766.4,14789
Week 91,1,16588.0,27985
Week 92,1,9616.8,16224
Week 93,2,25560.0,43121
Week 94,2,6805.6,11481
Week 95,2,13596.0,22937
Week 96,3,15580.0,26284
Week 97,1,9451.2,15945
Week 98,2,5932.8,10009
Week 99,1,10059.2,16970
Week 100,2,11514.4,19425
Week 101,2,5050.4,8519
Week 102,3,32780.8,55304
Week 103,3,23391.2,39461
Week 104,1,5908.8,9968
Week 105,3,15519.2,26181
Week 106,2,20820.8,35126
Week 107,2,4203.2,7090
Week 108,1,4885.6,8242
Week 109,2,6772.8,11426
Week 110,2,10968.8,18505
Week 111,3,55961.6,94412
Week 112,2,11022.4,18595
Week 113,1,6005.6,10132
Week 114,3,33400.8,56349
Week 115,3,41691.2,70336
Week 116,1,15171.2,25595
Week 117,1,10702.4,18056
Week 118,1,7473.6,12608
Week 119,2,43736.0,73786
Week 120,1,11312.8,19085
Week 121,7,102688.0,173242
Week 122,2,77566.4,130862
Week 123,2,33828.0,57070
Week 124,1,38221.6,64483
Week 125,1,9898.4,16699
Week 126,2,62132.0,104822
Week 127,1,34923.2,58919
Week 128,1,37687.2,63582
Week 129,3,55820.0,94173
Week 130,2,70745.6,119354
Week 131,1,28159.2,47507
Week 132,3,86784.0,146413
Week 133,1,10536.0,17775
Week 134,2,25232.0,42569
Week 135,4,175887.2,296739
Week 136,4,151198.4,255086
