Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,3,49180.0,110955
Month 2,1,23149.6,52228
Month 3,4,41462.4,93542
Month 4,3,31887.2,71940
Month 5,5,60672.8,136883
Month 6,3,39686.4,89535
Month 7,3,49737.6,112212
Month 8,3,20072.0,45283
Month 9,2,13957.6,31489
Month 10,7,112032.0,252753
Month 11,6,48088.8,108491
Month 12,4,47656.0,107515
Month 13,6,44906.4,101310
Month 14,3,33388.0,75326
Month 15,3,69096.8,155889
Month 16,4,62587.2,141202
Month 17,5,115013.6,259481
Month 18,3,16333.6,36849
Month 19,3,27251.2,61480
Month 20,3,44252.0,99836
Month 21,3,58401.6,131759
Month 22,5,92696.0,209130
Month 23,6,108557.6,244915
Month 24,6,74348.8,167736
Month 25,22,504009.6,1137094
Month 26,9,186718.4,421256
Month 27,4,95836.8,216217
Month 28,8,150205.6,338878
Month 29,7,117436.8,264946
Month 30,5,108834.4,245539
Month 31,1,5136.8,11589
Month 32,2,32078.4,72371
Month 33,2,10484.8,23654
