Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,2,42745.6,89530
Month 2,2,34056.8,71331
Month 3,2,18301.6,38332
Month 4,2,31641.6,66273
Month 5,1,12177.6,25506
Month 6,1,6530.4,13677
Month 7,2,11336.8,23744
Month 8,2,25327.2,53047
Month 9,2,19184.0,40180
Month 10,1,7592.0,15901
Month 11,1,11696.0,24497
Month 12,1,9929.6,20797
Month 13,12,146652.0,307159
Month 14,4,56244.8,117803
Month 15,5,81229.6,170133
Month 16,4,59776.0,125200
Month 17,3,15680.0,32840
Month 18,5,46969.6,98375
Month 19,5,26192.8,54858
Month 20,5,47684.0,99871
Month 21,3,16936.8,35472
Month 22,1,5194.4,10879
Month 23,6,48191.2,100933
Month 24,7,64708.8,135529
Month 25,8,93319.2,195454
Month 26,1,4936.0,10338
Month 27,3,15209.6,31856
Month 28,1,5065.6,10609
Month 29,3,58006.4,121493
Month 30,3,46583.2,97568
Month 31,5,64487.2,135067
Month 32,8,41833.6,87617
Month 33,1,3799.2,7957
Month 34,1,5509.6,11539
Month 35,3,15748.8,32984
Month 36,4,26704.8,55932
Month 37,2,35141.6,73603
Month 38,3,17874.4,37437
Month 39,3,16400.0,34348
Month 40,2,10048.8,21046
Month 41,4,52432.0,109817
