Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,1,5317.6,11772
Month 2,1,5333.6,11807
Month 3,8,108120.8,239355
Month 4,11,234077.6,518198
Month 5,18,412279.2,912699
Month 6,19,338176.8,748651
Month 7,11,187210.4,414442
Month 8,12,261666.4,579274
Month 9,24,539887.2,1195194
Month 10,20,419061.6,927714
Month 11,27,453388.0,1003698
Month 12,36,578928.8,1281619
Month 13,20,305540.8,676399
Month 14,12,238719.2,528472
Month 15,11,192405.6,425943
Month 16,7,153785.6,340447
Month 17,1,468.8,1037
Month 18,2,30412.8,67328
Month 19,2,32869.6,72766
Month 20,2,52531.2,116293
Month 21,20,399700.8,884852
Month 22,16,271671.2,601420
Month 23,5,84932.8,188023
Month 24,9,73948.0,163702
Month 25,3,22620.0,50075
Month 26,9,121818.4,269678
