Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,4,42573.6,87134
Month 2,4,41205.6,84334
Month 3,6,67486.4,138122
Month 4,8,62849.6,128632
Month 5,6,71223.2,145769
Month 6,11,158280.0,323948
Month 7,14,235609.6,482216
Month 8,23,387276.8,792633
Month 9,18,321370.4,657746
Month 10,7,143776.0,294263
Month 11,8,105030.4,214962
Month 12,3,29592.0,60564
Month 13,3,35892.0,73459
Month 14,6,36520.8,74744
Month 15,4,34846.4,71319
Month 16,7,91080.8,186411
Month 17,7,110778.4,226726
Month 18,16,320301.6,655556
Month 19,5,63554.4,130075
Month 20,20,419548.0,858680
Month 21,25,469482.4,960880
Month 22,8,146301.6,299432
Month 23,18,404124.8,827116
Month 24,14,249913.6,511492
Month 25,10,124581.6,254978
Month 26,14,184539.2,377692
Month 27,15,225101.6,460709
Month 28,17,237265.6,485605
Month 29,24,321635.2,658281
Month 30,7,66938.4,137001
Month 31,11,192893.6,394790
Month 32,8,148590.4,304117
Month 33,20,416907.2,853277
Month 34,14,280188.8,573457
Month 35,24,441382.4,903368
Month 36,22,210036.0,429871
Month 37,15,176446.4,361128
Month 38,12,199304.0,407911
Month 39,14,266328.0,545090
Month 40,14,179694.4,367774
Month 41,9,138216.0,282883
Month 42,29,660815.2,1352480
Month 43,32,631582.4,1292647
Month 44,40,966534.4,1978190
Month 45,41,1037434.4,2123302
Month 46,43,870275.2,1781176
Month 47,30,674141.6,1379754
Month 48,25,521191.2,1066714
Month 49,21,527299.2,1079217
Month 50,7,66286.4,135664
Month 51,18,602347.2,1232819
Month 52,17,425713.6,871303
Month 53,15,275504.0,563869
Month 54,21,705927.2,1444814
Month 55,31,751016.8,1537095
Month 56,30,626584.0,1282419
Month 57,40,681168.0,1394131
Month 58,39,627679.2,1284656
Month 59,27,431185.6,882499
Month 60,11,206374.4,422381
Month 61,6,181749.6,371985
Month 62,6,173708.8,355528
Month 63,7,146076.8,298972
Month 64,7,174728.0,357613
Month 65,15,419400.8,858381
Month 66,19,375402.4,768328
Month 67,12,304398.4,623007
Month 68,32,763635.2,1562923
Month 69,31,856392.0,1752765
Month 70,13,344483.2,705048
Month 71,10,260675.2,533520
Month 72,7,116702.4,238852
Month 73,12,160672.0,328843
Month 74,3,17764.8,36358
Month 75,10,135110.4,276527
Month 76,8,106464.0,217897
Month 77,12,148626.4,304189
Month 78,11,224485.6,459451
Month 79,17,451622.4,924330
Month 80,10,248488.8,508578
Month 81,18,494076.8,1011219
Month 82,13,249714.4,511085
Month 83,12,338204.8,692200
Month 84,15,300029.6,614066
Month 85,8,120216.0,246044
Month 86,5,71576.8,146496
Month 87,6,157491.2,322335
Month 88,10,220893.6,452099
Month 89,11,285648.8,584634
Month 90,28,756748.0,1548826
Month 91,16,430052.8,880182
Month 92,23,494282.4,1011640
Month 93,23,443045.6,906769
Month 94,11,223543.2,457523
Month 95,19,404454.4,827790
Month 96,17,261232.0,534656
Month 97,11,173410.4,354916
Month 98,8,109245.6,223590
Month 99,6,123467.2,252698
Month 100,13,330524.8,676480
Month 101,17,340939.2,697795
Month 102,21,629362.4,1288110
Month 103,21,739530.4,1513589
Month 104,20,595654.4,1219119
Month 105,24,726496.0,1486912
Month 106,15,419376.0,858331
Month 107,9,248747.2,509109
Month 108,6,84351.2,172640
Month 109,4,58379.2,119483
Month 110,2,11614.4,23770
