Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,8,104256.8,67458
Month 2,7,155647.2,100712
Month 3,6,107025.6,69251
Month 4,2,31578.4,20433
Month 5,10,225256.8,145753
Month 6,8,150003.2,97060
Month 7,7,138081.6,89346
Month 8,9,90573.6,58603
Month 9,11,118488.8,76667
Month 10,11,81844.8,52955
Month 11,8,101029.6,65370
Month 12,4,31002.4,20059
Month 13,6,101252.8,65517
Month 14,1,6285.6,4067
Month 15,3,59692.0,38623
Month 16,3,24032.8,15550
Month 17,2,69427.2,44924
Month 18,1,5948.8,3849
Month 19,4,32232.8,20855
Month 20,7,71358.4,46171
Month 21,2,12084.0,7818
Month 22,3,28964.0,18740
Month 23,1,18600.8,12036
