Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,1,11760.0,8334
Month 2,2,24420.0,17305
Month 3,1,12414.4,8798
Month 4,2,26145.6,18528
Month 5,1,12936.0,9167
Month 6,1,12936.0,9167
Month 7,1,13025.6,9231
Month 8,3,39604.0,28065
Month 9,1,1680.0,1190
Month 10,1,13681.6,9696
Month 11,1,25905.6,18359
Month 12,2,39336.0,27877
Month 13,3,44049.6,31216
Month 14,3,42136.0,29862
Month 15,4,57080.8,40452
Month 16,1,14664.0,10392
Month 17,3,58896.0,41739
Month 18,1,12984.0,9201
Month 19,3,45169.6,32011
Month 20,5,85276.0,60434
Month 21,2,96645.6,68493
Month 22,1,29344.0,20796
Month 23,4,85933.6,60900
Month 24,3,58322.4,41332
Month 25,5,68520.0,48559
Month 26,1,24888.0,17638
Month 27,3,41930.4,29715
Month 28,5,67593.6,47902
Month 29,4,54418.4,38564
Month 30,3,52432.8,37158
Month 31,2,22538.4,15972
Month 32,3,66768.0,47317
Month 33,15,246811.2,174910
Month 34,5,68214.4,48342
Month 35,8,113278.4,80278
Month 36,3,51689.6,36631
Month 37,1,23218.4,16455
Month 38,1,14416.0,10216
Month 39,1,11761.6,8335
Month 40,1,13804.0,9782
Month 41,2,25618.4,18155
Month 42,1,11793.6,8358
Month 43,3,47870.4,33925
Month 44,3,47944.0,33977
Month 45,1,16812.0,11914
Month 46,1,14720.0,10432
Month 47,1,13488.0,9559
Month 48,1,36552.0,25904
Month 49,2,35244.0,24976
Month 50,1,10968.0,7773
Month 51,2,32028.0,22698
Month 52,1,26176.0,18551
Month 53,2,38952.0,27604
Month 54,2,32676.0,23156
Month 55,4,74476.8,52780
Month 56,3,67104.0,47555
Month 57,4,96216.0,68187
Month 58,8,214164.0,151777
Month 59,2,44157.6,31293
Month 60,3,73512.0,52096
Month 61,4,90196.0,63920
Month 62,3,65276.0,46260
Month 63,4,93616.0,66345
Month 64,2,36576.0,25920
Month 65,3,80054.4,56733
Month 66,2,28500.0,20197
Month 67,4,76440.0,54171
