Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,14,196208.0,291328
Month 2,18,151156.0,224431
Month 3,19,177895.2,264136
Month 4,16,145784.0,216456
Month 5,13,94297.6,140011
Month 6,16,113337.6,168278
Month 7,13,73308.0,108842
Month 8,17,75188.8,111634
Month 9,18,84408.8,125325
Month 10,21,107156.0,159097
Month 11,11,50682.4,75249
Month 12,18,68557.6,101785
Month 13,11,55627.2,82591
Month 14,7,56024.8,83182
Month 15,3,16051.2,23833
Month 16,8,46216.0,68620
Month 17,4,22884.8,33977
Month 18,6,43431.2,64485
Month 19,19,84944.8,126118
Month 20,18,88306.4,131112
Month 21,15,92798.4,137781
Month 22,26,144861.6,215080
Month 23,23,135954.4,201854
Month 24,14,112694.4,167324
Month 25,25,158733.6,235679
Month 26,24,239756.0,355985
Month 27,12,79965.6,118727
Month 28,16,116482.4,172948
Month 29,16,123614.4,183537
Month 30,28,260677.6,387046
Month 31,14,97646.4,144982
Month 32,24,224391.2,333169
Month 33,17,128542.4,190853
Month 34,16,164865.6,244788
Month 35,15,102672.8,152443
Month 36,6,58947.2,87524
Month 37,10,90572.0,134479
Month 38,16,137509.6,204170
Month 39,5,56521.6,83923
Month 40,8,97593.6,144906
Month 41,1,7478.4,11104
Month 42,2,10240.0,15204
