Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,42,289560.8,355983
Month 2,61,459830.4,565311
Month 3,45,231148.0,284161
Month 4,48,336448.0,413623
Month 5,71,588352.8,723323
Month 6,60,359962.4,442529
Month 7,61,313123.2,384939
Month 8,54,270233.6,332214
Month 9,88,527892.8,648977
Month 10,71,490056.0,602466
Month 11,61,481352.8,591770
Month 12,38,299864.0,368649
Month 13,34,274592.8,337583
Month 14,18,148051.2,182013
Month 15,19,68927.2,84732
Month 16,22,136596.0,167927
Month 17,59,391431.2,481219
Month 18,22,164036.0,201663
Month 19,16,55282.4,67959
Month 20,36,266439.2,327554
Month 21,42,342018.4,420474
Month 22,33,317155.2,389912
Month 23,19,197786.4,243160
Month 24,23,345088.0,424258
Month 25,45,450553.6,553912
Month 26,26,388942.4,478171
Month 27,13,173832.0,213711
Month 28,14,156420.0,192304
Month 29,18,198356.0,243859
Month 30,18,246548.0,303109
Month 31,11,66362.4,81584
Month 32,21,152917.6,187993
Month 33,15,111566.4,137159
Month 34,40,228612.8,281047
Month 35,10,110657.6,136045
Month 36,11,68276.0,83938
Month 37,48,299467.2,368156
Month 38,28,212760.8,261566
Month 39,41,212148.8,260809
Month 40,30,210809.6,259164
Month 41,35,273230.4,335905
Month 42,49,371502.4,456721
Month 43,36,200086.4,245982
Month 44,48,268836.8,330496
Month 45,112,763840.8,939054
Month 46,134,864227.2,1062457
Month 47,62,484126.4,595183
