Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,2,20932.0,23421
Month 2,7,103116.8,115382
Month 3,7,88052.0,98524
Month 4,19,390106.4,436512
Month 5,11,277467.2,310474
Month 6,10,253029.6,283129
Month 7,9,173263.2,193875
Month 8,4,116099.2,129910
Month 9,10,209147.2,234027
Month 10,3,45999.2,51470
Month 11,4,74169.6,82993
Month 12,10,155103.2,173553
Month 13,6,121863.2,136359
Month 14,6,124981.6,139850
Month 15,4,83908.8,93890
Month 16,9,176402.4,197386
Month 17,8,183907.2,205783
Month 18,1,7878.4,8815
Month 19,6,115163.2,128862
Month 20,1,8847.2,9899
Month 21,12,292040.0,326782
Month 22,12,292528.8,327329
Month 23,10,269597.6,301668
Month 24,8,178203.2,199403
Month 25,1,31071.2,34768
Month 26,1,20281.6,22694
Month 27,2,42392.8,47435
Month 28,3,19376.8,21681
Month 29,2,12321.6,13786
Month 30,4,42704.0,47783
Month 31,3,33425.6,37401
Month 32,4,30329.6,33936
Month 33,6,85122.4,95247
Month 34,4,40261.6,45050
Month 35,6,63426.4,70970
Month 36,5,55428.0,62020
Month 37,5,56868.8,63633
Month 38,6,99612.8,111461
Month 39,8,86461.6,96745
Month 40,7,115583.2,129331
Month 41,18,190847.2,213544
Month 42,33,550844.0,616369
Month 43,15,216956.0,242762
Month 44,31,420570.4,470596
Month 45,26,330014.4,369264
Month 46,25,402812.8,450729
Month 47,31,460046.4,514768
Month 48,29,362665.6,405803
Month 49,13,168975.2,189075
Month 50,5,28785.6,32209
Month 51,5,29980.0,33544
Month 52,7,75586.4,84575
