Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,3,13300.0,13891
Month 2,1,4912.0,5130
Month 3,1,29621.6,30940
Month 4,1,5781.6,6039
Month 5,3,10460.8,10925
Month 6,18,103528.8,108129
Month 7,15,85826.4,89641
Month 8,14,166158.4,173550
Month 9,7,37229.6,38882
Month 10,9,80288.8,83858
Month 11,8,61673.6,64416
Month 12,12,91924.8,96011
Month 13,22,135435.2,141454
Month 14,23,86561.6,90403
Month 15,9,29451.2,30758
Month 16,36,112094.4,117068
Month 17,21,98413.6,102786
Month 18,15,59780.8,62434
Month 19,6,30474.4,31828
Month 20,7,21565.6,22522
Month 21,3,11309.6,11812
Month 22,9,32794.4,34250
Month 23,35,138194.4,144330
Month 24,41,158636.0,165680
Month 25,53,227164.0,237253
Month 26,32,205334.4,214460
Month 27,32,169343.2,176869
Month 28,46,269034.4,280988
Month 29,38,268556.0,280497
Month 30,42,185237.6,193465
Month 31,27,127684.8,133357
Month 32,22,156140.0,163080
Month 33,30,167754.4,175208
Month 34,15,97363.2,101690
Month 35,40,148756.8,155360
Month 36,33,152193.6,158954
Month 37,46,194653.6,203297
Month 38,39,185721.6,193969
Month 39,52,281973.6,294504
Month 40,40,176132.8,183956
Month 41,16,73603.2,76873
Month 42,13,77526.4,80973
Month 43,7,31712.8,33121
Month 44,7,40290.4,42081
Month 45,5,34454.4,35987
Month 46,3,22169.6,23155
Month 47,1,4517.6,4718
Month 48,1,9848.0,10286
Month 49,8,80390.4,83967
Month 50,14,132976.0,138891
Month 51,13,105727.2,110427
Month 52,9,68009.6,71035
Month 53,33,143228.0,149587
Month 54,35,159612.0,166703
Month 55,31,238442.4,249044
Month 56,12,114864.0,119973
Month 57,19,209020.8,218317
Month 58,20,124620.8,130161
Month 59,32,307256.8,320921
Month 60,17,196181.6,204909
Month 61,16,147188.0,153735
Month 62,26,259600.8,271149
Month 63,12,139046.4,145232
Month 64,11,85431.2,89230
Month 65,12,81827.2,85464
Month 66,10,110733.6,115659
Month 67,5,67458.4,70460
Month 68,5,42755.2,44656
Month 69,10,108238.4,113054
Month 70,13,195752.8,204462
Month 71,5,97289.6,101620
Month 72,10,130418.4,136221
Month 73,27,464135.2,484791
Month 74,25,405292.8,423329
Month 75,23,333488.8,348328
Month 76,14,139248.8,145441
Month 77,11,93369.6,97522
Month 78,6,32316.8,33753
Month 79,3,6267.2,6544
Month 80,1,15.2,15
