Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,88,512572.0,1272445
Month 2,115,633344.0,1572259
Month 3,105,644200.0,1599214
Month 4,66,418308.8,1038442
Month 5,59,354142.4,879151
Month 6,92,548697.6,1362127
Month 7,131,718231.2,1782990
Month 8,133,749866.4,1861520
Month 9,166,933908.0,2318400
Month 10,144,784489.6,1947477
Month 11,88,503695.2,1250408
Month 12,88,488116.8,1211734
Month 13,72,425328.0,1055868
Month 14,113,708597.6,1759078
Month 15,100,633210.4,1571931
Month 16,72,448956.8,1114524
Month 17,109,649260.8,1611777
Month 18,81,519968.8,1290815
Month 19,90,551180.0,1368288
Month 20,35,216373.6,537142
