Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,4,43820.8,103878
Month 2,31,250773.6,594458
Month 3,33,294652.8,698479
Month 4,40,347449.6,823630
Month 5,49,380560.0,902116
Month 6,43,214186.4,507722
Month 7,66,378018.4,896083
Month 8,71,382484.0,906671
Month 9,42,182856.8,433450
Month 10,36,234201.6,555175
Month 11,30,199370.4,472602
Month 12,21,117308.8,278078
Month 13,25,128384.8,304332
Month 14,35,220430.4,522527
Month 15,33,271262.4,643031
Month 16,43,382458.4,906621
Month 17,44,337518.4,800089
Month 18,45,390380.0,925401
Month 19,43,348220.8,825459
Month 20,32,250506.4,593825
Month 21,31,265914.4,630351
Month 22,35,268507.2,636499
Month 23,30,246261.6,583767
Month 24,20,169185.6,401057
Month 25,13,137166.4,325156
Month 26,31,302565.6,717239
Month 27,28,301834.4,715505
Month 28,27,291912.0,691982
Month 29,24,204745.6,485351
Month 30,21,246816.0,585082
Month 31,20,260695.2,617987
Month 32,22,202496.0,480022
Month 33,26,233162.4,552717
Month 34,29,329270.4,780544
Month 35,16,156791.2,371675
Month 36,22,131106.4,310786
Month 37,13,102928.0,243991
Month 38,18,150864.8,357627
Month 39,13,109695.2,260032
Month 40,27,351745.6,833825
Month 41,36,408281.6,967840
Month 42,22,257782.4,611081
Month 43,22,226708.8,537419
Month 44,22,232652.0,551505
Month 45,21,196217.6,465135
Month 46,33,329482.4,781045
Month 47,21,245563.2,582111
Month 48,15,135184.8,320457
Month 49,26,153636.8,364192
Month 50,24,182598.4,432850
Month 51,21,139584.0,330881
Month 52,19,196016.0,464660
Month 53,18,279874.4,663452
Month 54,34,460499.2,1091629
Month 55,30,291177.6,690238
Month 56,30,247566.4,586860
Month 57,44,385520.8,913883
Month 58,41,299736.0,710524
Month 59,27,160903.2,381417
Month 60,23,111788.8,264991
Month 61,9,64268.8,152348
Month 62,9,66763.2,158263
