Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,21,276128.8,357159
Month 2,24,227648.8,294449
Month 3,18,149980.8,193991
Month 4,27,193678.4,250507
Month 5,26,134227.2,173610
Month 6,22,136777.6,176908
Month 7,36,241163.2,311923
Month 8,24,205604.0,265938
Month 9,27,201066.4,260063
Month 10,19,74524.0,96388
Month 11,14,70060.0,90617
Month 12,12,58110.4,75157
Month 13,18,73433.6,94977
Month 14,10,68015.2,87971
Month 15,7,34812.0,45026
Month 16,14,132303.2,171126
Month 17,21,70640.0,91361
Month 18,24,136398.4,176417
Month 19,31,214507.2,277448
Month 20,37,315893.6,408588
Month 21,35,332169.6,429642
Month 22,36,317754.4,410996
Month 23,41,456189.6,590058
Month 24,36,339627.2,439286
Month 25,24,320136.8,414087
Month 26,38,372373.6,481642
Month 27,20,232547.2,300788
Month 28,25,238171.2,308061
Month 29,31,280736.8,363114
Month 30,31,271365.6,350995
Month 31,25,173177.6,223990
Month 32,17,146285.6,189211
Month 33,20,97665.6,126317
Month 34,19,118853.6,153728
Month 35,26,219335.2,283696
Month 36,13,105136.8,135985
Month 37,25,295299.2,381954
Month 38,21,123180.8,159324
Month 39,21,129474.4,167463
Month 40,11,49943.2,64596
Month 41,14,106755.2,138081
Month 42,13,69747.2,90210
Month 43,11,59724.0,77247
Month 44,17,62952.0,81418
Month 45,18,95748.0,123841
Month 46,9,47152.0,60987
Month 47,11,127482.4,164892
Month 48,10,188970.4,244427
Month 49,7,82357.6,106526
Month 50,8,62510.4,80853
Month 51,7,36401.6,47081
Month 52,6,54601.6,70623
Month 53,4,15364.0,19871
Month 54,4,25131.2,32505
Month 55,4,18459.2,23875
Month 56,3,11912.0,15407
