Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,38,466086.4,1145524
Month 2,37,467074.4,1147953
Month 3,64,803349.6,1974436
Month 4,48,594810.4,1461899
Month 5,59,735500.0,1807679
Month 6,50,619880.8,1523514
Month 7,56,677717.6,1665660
Month 8,54,638570.4,1569448
Month 9,37,455002.4,1118285
Month 10,56,702108.0,1725611
Month 11,60,752708.0,1849969
Month 12,60,696740.0,1712415
Month 13,66,826000.0,2030108
Month 14,65,794647.2,1953046
Month 15,66,801937.6,1970968
Month 16,71,860900.0,2115882
Month 17,74,1001990.4,2462653
Month 18,60,743215.2,1826639
Month 19,52,660673.6,1623775
Month 20,86,1159745.6,2850374
Month 21,60,760738.4,1869709
Month 22,41,511773.6,1257818
Month 23,58,718989.6,1767101
Month 24,74,882234.4,2168317
Month 25,83,1025594.4,2520669
Month 26,57,700927.2,1722707
Month 27,69,821368.8,2018722
Month 28,46,553725.6,1360923
Month 29,51,638478.4,1569227
Month 30,23,281983.2,693045
Month 31,18,272664.8,670146
Month 32,39,704636.8,1731828
Month 33,20,398828.0,980224
Month 34,13,210609.6,517629
Month 35,40,510154.4,1253838
Month 36,52,692671.2,1702420
Month 37,61,841410.4,2067981
Month 38,19,242010.4,594800
