Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,4,18996.8,47408
Month 2,5,25910.4,64662
Month 3,9,45504.8,113562
Month 4,1,4912.8,12260
Month 5,1,8076.0,20155
Month 6,5,19886.4,49628
Month 7,1,3848.8,9605
Month 8,3,12672.0,31624
Month 9,4,17089.6,42649
Month 10,5,24158.4,60290
Month 11,6,35668.8,89017
Month 12,1,10005.6,24970
Month 13,14,55374.4,138194
Month 14,14,65488.8,163434
Month 15,3,12260.0,30596
Month 16,4,22875.2,57089
Month 17,1,7169.6,17893
Month 18,2,8028.0,20035
Month 19,13,50469.6,125950
Month 20,9,61851.2,154357
Month 21,5,35024.8,87408
Month 22,9,60639.2,151334
Month 23,5,24811.2,61918
Month 24,5,35690.4,89070
Month 25,5,31895.2,79598
Month 26,6,25838.4,64482
Month 27,2,9564.8,23870
Month 28,2,16687.2,41645
Month 29,4,21925.6,54717
Month 30,2,9968.8,24878
Month 31,5,28080.0,70077
